]0;mongosh mongodb://127.0.0.1:27017/dba_proyectofinal?directConnection=true&serverSelectionTimeoutMS=2000codigo_municipio,fuente,total_edificios,area_total_m2,area_total_ha
19455,Microsoft,5583,904970.05,90.50
52250,Microsoft,5581,481893.56,48.19
52079,Microsoft,5433,438456.89,43.85
13744,Microsoft,5426,649074.98,64.91
95025,Microsoft,5357,543261.85,54.33
05040,Microsoft,5318,481474.10,48.15
20045,Microsoft,5302,500861.91,50.09
86569,Microsoft,5253,588365.63,58.84
50370,Microsoft,5238,534938.92,53.49
05893,Microsoft,5206,681931.54,68.19
05031,Microsoft,5184,674869.58,67.49
13473,Microsoft,4809,476346.19,47.63
05234,Microsoft,4766,439564.66,43.96
19318,Microsoft,4690,488826.56,48.88
19809,Microsoft,4688,479010.06,47.90
52540,Microsoft,4626,422142.62,42.21
13212,Microsoft,4519,339462.50,33.95
18247,Microsoft,4510,954321.80,95.43
70823,Microsoft,4447,407403.52,40.74
54670,Microsoft,4393,389192.78,38.92
18610,Microsoft,4372,541321.92,54.13
18756,Microsoft,4362,521328.31,52.13
52256,Microsoft,4331,343105.73,34.31
86573,Microsoft,4308,537528.18,53.75
20570,Microsoft,4170,360160.48,36.02
19364,Microsoft,4120,330583.15,33.06
54245,Microsoft,4099,365825.59,36.58
18256,Microsoft,4060,696552.94,69.66
52418,Microsoft,4040,364113.81,36.41
54344,Microsoft,4039,371710.37,37.17
19418,Microsoft,4015,316610.62,31.66
18860,Microsoft,3788,464319.85,46.43
27800,Microsoft,3666,319826.53,31.98
52233,Microsoft,3530,295100.71,29.51
50590,Microsoft,3524,304117.85,30.41
52612,Microsoft,3520,255286.14,25.53
52405,Microsoft,3492,322047.31,32.20
52490,Microsoft,3480,317945.72,31.79
05854,Microsoft,3475,298974.14,29.90
18460,Microsoft,3456,433491.90,43.35
27006,Microsoft,3450,340509.24,34.05
70473,Microsoft,3277,332234.25,33.22
18094,Microsoft,3202,477395.42,47.74
05480,Microsoft,3118,303512.47,30.35
20750,Microsoft,2925,337698.02,33.77
13894,Microsoft,2912,287746.92,28.77
70523,Microsoft,2911,230409.26,23.04
05495,Microsoft,2852,222124.91,22.21
23682,Microsoft,2809,245265.30,24.53
50450,Microsoft,2759,271130.59,27.11
13160,Microsoft,2515,223454.94,22.35
20443,Microsoft,2503,297616.31,29.76
13248,Microsoft,2463,249497.29,24.95
13042,Microsoft,2252,181103.31,18.11
18785,Microsoft,2236,239687.67,23.97
50577,Microsoft,2231,208526.19,20.85
52696,Microsoft,2208,219993.61,22.00
52427,Microsoft,2201,218504.14,21.85
18205,Microsoft,2161,309245.96,30.92
05107,Microsoft,2113,184929.28,18.49
18029,Microsoft,1944,264322.23,26.43
70204,Microsoft,1939,160049.72,16.00
52621,Microsoft,1857,152091.58,15.21
27205,Microsoft,1812,257304.16,25.73
27150,Microsoft,1678,123953.95,12.40
27361,Microsoft,1596,141629.35,14.16
27250,Microsoft,1562,133806.42,13.38
50325,Microsoft,1561,165992.26,16.60
05873,Microsoft,1489,151043.74,15.10
27099,Microsoft,1474,123420.12,12.34
27425,Microsoft,1458,138775.31,13.88
52520,Microsoft,1321,106344.07,10.63
18479,Microsoft,1308,206126.31,20.61
52390,Microsoft,1265,115138.12,11.51
52473,Microsoft,1219,100594.08,10.06
95015,Microsoft,1135,109207.04,10.92
27491,Microsoft,1095,115291.92,11.53
70230,Microsoft,1078,86052.95,8.61
27450,Microsoft,1073,98451.63,9.85
05475,Microsoft,927,76386.38,7.64
27745,Microsoft,717,57922.35,5.79
